,postcode,bedrooms,main_type,second_level_type,footprint_area_sqm,abshmin,absh2,abshmax,relh2,relhmax,internal_floor_area_sqm,chain_1_hash
4356,SW11 4EZ,3,FLA,BLK,332.41564,4.2,19.4,24.2,15.2,20.0,141.0,557757246b92f43d43897cd4c440a206
4357,SW11 2JU,2,HSE,TERR,48.6739,2.9,7.3,11.3,4.4,8.4,81.0,e2ca52934e6d3f218049f5e8fe9c7a58
4358,SW11 5NX,4,HSE,TERR,60.8525,19.3,26.4,29.1,7.1,9.8,130.0,7b29b21d8cf52782ca0335a46cc56b1d
4359,SW11 6QT,3,HSE,TERR,64.55175,14.8,20.9,24.9,6.1,10.1,111.0,148fce3686e0718154211f6cd6452be1
4360,SW11 5NX,3,HSE,TERR,56.7425,19.4,27.4,30.0,8.0,10.6,132.0,7b29b21d8cf52782ca0335a46cc56b1d
4361,SW11 4EZ,3,FLA,BLK,332.41564,4.2,19.4,24.2,15.2,20.0,148.0,557757246b92f43d43897cd4c440a206
4362,SW11 6QT,4,HSE,TERR,74.1229,14.6,19.1,23.9,4.5,9.3,192.0,148fce3686e0718154211f6cd6452be1
4363,SW11 2JU,2,HSE,TERR,62.38061,3.1,8.4,10.6,5.3,7.5,86.0,e2ca52934e6d3f218049f5e8fe9c7a58
4364,SW11 1PQ,1,FLA,CNV,67.96123,13.8,23.1,27.9,9.3,14.1,49.0,9d93ca648b90ad85ead052f43a33f3b0
4365,SW11 4EZ,4,FLA,BLK,332.41564,4.2,19.4,24.2,15.2,20.0,134.0,557757246b92f43d43897cd4c440a206
4366,SW11 5NX,4,HSE,TERR,65.31499,19.7,27.2,28.9,7.5,9.2,187.0,7b29b21d8cf52782ca0335a46cc56b1d
4367,SW11 6QT,5,HSE,TERR,62.15124,14.2,20.0,23.6,5.8,9.4,178.0,148fce3686e0718154211f6cd6452be1
4368,SW11 6QT,5,HSE,TERR,94.96261,14.0,20.7,23.5,6.7,9.5,166.0,148fce3686e0718154211f6cd6452be1
4369,SW11 5NX,5,HSE,TERR,75.13969,20.0,26.9,29.8,6.9,9.8,185.0,ccb346bdfdd0ec9466e0949b1862e683
4370,SW11 4EZ,3,FLA,BLK,332.41564,4.2,19.4,24.2,15.2,20.0,123.0,557757246b92f43d43897cd4c440a206
4371,SW11 6QT,3,HSE,TERR,62.495,12.8,17.6,21.2,4.8,8.4,118.0,148fce3686e0718154211f6cd6452be1
4372,SW11 3NG,1,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,46.0,
4373,SW11 6QT,1,FLA,CNV,65.15155,12.6,17.7,20.3,5.1,7.7,61.0,148fce3686e0718154211f6cd6452be1
4374,SW11 5NY,4,HSE,TERR,64.41,19.1,27.1,29.8,8.0,10.7,117.0,677dd5ef6af7155c9a2a1ba73aa80281
4375,SW11 6QT,2,FLA,CNV,65.15155,12.6,17.7,20.3,5.1,7.7,52.0,148fce3686e0718154211f6cd6452be1
4376,SW11 6QT,3,HSE,TERR,67.88271,18.4,26.1,28.6,7.7,10.2,129.0,148fce3686e0718154211f6cd6452be1
4377,SW11 1PQ,2,FLA,CNV,97.13047,13.0,21.8,27.7,8.8,14.7,54.0,9d93ca648b90ad85ead052f43a33f3b0
4378,SW11 5NY,1,HSE,TERR,60.87374,18.4,26.4,28.7,8.0,10.3,133.0,677dd5ef6af7155c9a2a1ba73aa80281
4379,SW11 4EZ,3,FLA,BLK,339.77498,4.3,19.8,24.2,15.5,19.9,140.0,557757246b92f43d43897cd4c440a206
